id,name,kind,group,coverage,blocked_on,dial,note,covers
1,Hold a commanded ride height,run,R1,blocked,height,50 to 100 % of nominal height,"Sit, stand, crouch, sneak, squeeze under, crawl and rear up are all one number the command vector does not have.",1 2 3 4 5 14 34 35 90 167 170 171
2,"Pitch, roll and yaw the body with the feet planted",run,R1,blocked,height,+/- 25 deg,"Bowing, stretching, shaking, leaning and scanning are attitude commands rather than rates; old row 6 gave +/- 20 deg and old row 7 gave +/- 25 deg, so the dial is widened to cover both.",6 7 168 172 173 174 175
3,Address one leg on its own,run,R1,blocked,foot,,"A three-legged stance, a diagonal pair or one leg held out needs a per-foot command, and nothing in vx, vy, yaw addresses one leg.",8 9 10
4,Lift a foot and hold it up,run,R1,emerges,,0 to 10 s,"Feet come off the ground because the gait reward makes them, not because anyone asks.",17 18 20
5,Turn in place,run,R1,command,,45 / 90 / 180 / 360 deg,"Slow, fast, and stopping on an exact angle are the same yaw command.",11 12 13
6,Turn where the ground or the space is against it,run,R1,command,,0.1 to 0.3 friction,Turning on ice or in a gap 1.1 times the body length is the same command with the world turned up.,15 16
7,Walk forward at a commanded speed,run,R1,command,,0 to 0.35 m/s,"Stepping in place is this command at zero and holding the line for 3 m is R1's existing drift bar, so idle sway at zero command is not a separate skill.",24 25 129 176
8,"Walk backward, sideways and diagonally - the whole command box",run,R1,blocked,range,-0.35 to 0.35 m/s,"Measured on run 25: backward walked 0.00 m in 8 s and pure sideways 3 cm, because WALK_SPEED is 0.15 to 0.35 and vx is never zero or negative.",26 27 28 30
9,"Start, stop and reverse hard",run,R1,command,,90 / 180 deg,"Instant start, a dead stop from a sprint and a 180 at full speed are step changes in the same command.",31 32 33
10,Walk a constant arc,run,R1,command,,0.3 to 2 m radius,"A constant speed plus a constant turn rate is a circle, a figure eight is two of them flown back to back and turning at speed is the same pair held at 80 % of top, so the radius dial is widened to span every old row.",29 156 193 194
11,Named gaits,run,R1,command,,,"Static crawl, pace, amble and backward trot are contact patterns the gait reward already shapes; the gaits with a flight phase are parked.",159 160 161 165
12,Switch gait mid-walk,run,R1,command,,,"Changing gait is a speed change, not a new policy.",36
13,"Step on command, one step at a time",run,R1,command,,0.5 to 2 Hz,"One step per command, at a commanded rhythm.",19 166
14,Step over a low object,run,R1,emerges,,5 to 50 mm,"A rug edge, a cable or a 40 mm block is felt through the leg on contact rather than seen, which is why old row 99 filing the same event as blocked on a camera was wrong; PLAN 5.2 notes range finders reach the anticipating half of it, and the dial spans all three old ranges.",22 37 99
15,Place a foot on a chosen spot,run,R1,blocked,camera,30 to 60 mm target,"Hitting a mark, a stepping stone or the next stair but one needs to see where the spot is, and range finders give range, not a foot-placement map.",21 130 199
16,Probe the ground before committing weight,run,R1,emerges,,,Tapping and scraping before loading a foot fall out of the contact rewards.,178 179
17,"Pivot, cross over, and brace on a wall",run,R1,emerges,,0 to 90 deg,"A wall is felt through the leg when it pushes against it, the same way a low obstacle already is.",185 186 196
18,Reverse out of a tight place,run,R1,pilot,,,"Backing out of a corner, a dead end or a 50 mm gap is what a human on the sticks is for.",91 128 195
19,Drive to a point and stop on a heading,run,R1,pilot,,0.5 to 3 m,"The pilot decides where the point is, which heading to stop on, and how to line up on a doorway.",126 127 131
20,Descend a steep slope,run,R1,condition,,20 to 45 deg,"A steep slope is terrain, a dial in the scene, and going down it backward is just a command.",197 198
21,Get up from any ground pose,run,R2,command,,,"Belly, either side, fully upside down and rolling through the side are one reward with one fixed goal - get upright.",72 73 74 169
22,Get up on a slope or in a tight space,run,R2,command,,10 / 20 deg,The same reward with the floor tilted or the ceiling at 1.2 times body height.,75 76
23,Power on in an unknown pose,run,R2,command,,,"Powering on in a random joint pose, upside down, mid-air or with a foot trapped all land in R2's start distribution.",116 117 118 119
24,Picked up and set down elsewhere,run,R2,command,,,"Being set down is felt through the IMU and lands in an unknown pose, so it is a getting-up start and needs no eyes.",107 137
25,Survive a drop,run,R2,command,,0.3 to 1.0 m,"Four old rows each named one drop height; the height is a dial, not four skills.",77 78 79 80
26,Land badly,run,R2,command,,0 to 45 deg off level,"Landing on blocks or a slope, or already rotating, is the same drop with the start state turned up.",81 82
27,"Recover from a slip, or choose to fall safely",run,R2,command,,,A foot sliding out mid-walk and an unrecoverable state are the two ends of the same reward.,83 84
28,Use a foot on an object,parked,R3,emerges,,0 to 1 kg,"Pushing, dragging, pressing, kicking, digging and pawing all score the object rather than the robot, and PLAN.md shelves this with no trigger to un-shelve.",23 180 181 182 183 184
29,Push while standing,axis,D1,condition,,0.15 to 0.4 m/s,"Light, hard and hardest are the same impulse with the number raised, from any direction and contact point.",39 40 41 42
30,Push while walking,axis,D1,condition,,0.15 to 0.4 m/s,"The same shove, delivered while the feet are moving.",43
31,Sustained lean or a long push,axis,D1,condition,,10 to 30 % body weight,A lean held for 10 s and a push held for 30 s are one sustained force.,44 148
32,A sharp tug or a kicked leg,axis,D1,condition,,,"A tether yank and a sideways impulse into the swing leg are sharp, not sustained.",45 46
33,Low friction underfoot,axis,D1,condition,,0.05 to 1.0,"Ice, wet tile, a puddle, worn feet and the ground yanked away are one number, and friction 0.4 is already inside the 0.4 to 1.2 band randomised on every attempt today.",47 55 98 141
34,"Grass, gravel and rubble",axis,D1,condition,,,"The policy never sees the word gravel, it sees the same numbers arriving in a different pattern.",50 51 54
35,Ground the foot sinks into,axis,D1,condition,,0 to 20 mm sink,Sand and mud differ from gravel by letting the foot go down before it stops.,52
36,"Uneven ground - blocks, gaps, a beam, a rug edge",axis,D1,condition,,10 / 20 / 30 mm,"Flat hard floor is the baseline everything else is measured against rather than a skill, and the rest of these are one roughness dial.",48 49 53 57 58
